fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,July,02,ANDHRA PRADESH,0202,VIZIANAGARAM,10494611,213.125367726517,37,6298,5499.422827624,930,1,52682,10495354,1159231,73315,257829,17808,407.4879,28275.1725343237,276409,395085,345986,634533,571,389114,695204,53612,22368.2618066997,7459433,44,7.35,91.26,100,NA
2025-2026,July,02,ANDHRA PRADESH,0218,NTR,2266753,292.741471538762,28,1747,4023.711595381,865,2,31531,3473004,1242171,124503,272464,24232,199.48792,14390.1225315811,122971,197999,178705,331646,276,217562,393944,32396,10166.9230162001,2107002,30,76.81,93.26,100,NA
2025-2026,July,02,ANDHRA PRADESH,0202,VIZIANAGARAM,10494611,213.158205161468,37,6298,5499.422827624,997,1,52674,10498170,1159393,73316,257984,17808,407.4879,28284.6214744237,276416,395101,345987,634533,583,389113,695202,53671,22377.7107467997,7461189,44,7.37,91.21,100,NA
2025-2026,July,02,ANDHRA PRADESH,0208,PRAKASAM,6162035,250.328337786941,32,3716,6509.911694266,349,3,55025,9298074,2025429,200702,268297,22401,589.77979,30375.4055746657,282084,485180,379112,731349,544,457721,849646,55374,23275.7140903997,5258902,32,27.23,89.76,100,NA
2025-2026,July,02,ANDHRA PRADESH,0210,CHITTOOR,2940884,272.089030636514,29,915,6108.961320886,2804,0,55244,2487065,688446,110493,78400,13543,545.27329,13421.265660686,85285,124326,209819,388708,238,276320,495867,58048,6767.03104980001,1553494,63,62.82,84.42,100,NA
2025-2026,July,02,ANDHRA PRADESH,0211,Y.S.R,4080498,272.04761741097,42,1910,4338.2856947,276,4,47081,5643063,1054095,78670,70364,5400,646.29878,20336.4029152,131613,206297,188822,354700,2593,247394,456189,47357,15351.8184405,3626278,36,40.17,96.42,100,NA
2025-2026,July,02,ANDHRA PRADESH,0215,ANAKAPALLI,5660945,282.146887005132,40,3163,4665.427917115,657,3,44519,7668021,568618,35057,239846,16973,216.98591,26517.4963735148,189855,266552,238715,393676,815,293183,463759,45176,21635.0825463998,5306199,55,20.02,93.3,100,NA
2025-2026,July,02,ANDHRA PRADESH,0216,KONASEEMA,2480173,297.23962384301,37,2369,3637.033804796,1664,0,29619,4286774,2093070,118146,37378,2386,244.15913,16623.1838473959,114510,158268,154306,256547,836,237125,367065,31283,12741.9909125999,2760098,33,89.36,93.41,100,NA
2025-2026,July,02,ANDHRA PRADESH,0211,Y.S.R,4080498,272.221994356229,43,1922,4338.3194947,1089,3,46428,5795775,1083984,78700,71891,5405,647.84373,20763.5375180998,132415,207779,188968,354978,3041,247471,456360,47517,15777.3742933998,3729892,36,40.4,96.16,100,NA
2025-2026,July,02,ANDHRA PRADESH,0212,ANANTAPUR,5442361,280.570378773584,37,2883,5887.025632454,1094,1,58582,5909335,956338,95720,232723,17992,665.33804,23132.2072649539,156926,265434,259006,489677,1460,326804,609512,59676,16579.8435924999,3290981,48,47.54,90.94,100.01,NA
2025-2026,July,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7350488,289.135656630189,42,4017,5081.616859835,1041,1,86432,8032867,152420,9929,7386570,421426,418.18834,28725.6879465148,191146,331538,234247,460352,8460,258004,495253,87473,23225.8827466798,4216247,84,67.53,81.46,100,NA
2025-2026,July,02,ANDHRA PRADESH,0217,ELURU,5861794,278.87499865371,37,3025,4313.541950718,4632,4,44406,8701697,2858311,205736,948324,54223,274.98377,28855.383112318,229105,366085,320606,598488,2220,384310,695180,49038,24266.8573916,5089121,40,39.1,93.95,100,NA
2025-2026,July,02,ANDHRA PRADESH,0223,ANNAMAYYA,3488638,272.514451279172,36,1124,3076.564360043,1742,2,45037,4116884,776996,68191,158631,12908,355.15013,14650.818332443,113946,167418,201989,351002,564,255836,433088,46779,11219.1038424,2409260,55,64.4,90.82,100,NA
2025-2026,July,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5625831,261.384481944054,47,3601,4463.71515359301,5272,0,57200,8043938,931683,45667,3112915,140159,295.47694,25784.7977627939,169832,280284,195287,378623,5643,217435,411019,62472,21025.6056692009,4793370,77,43.24,91.94,100,NA
2025-2026,July,02,ANDHRA PRADESH,0204,EAST GODAVARI,2375101,275.507566982438,36,1582,3156.379716382,4006,0,22868,2843469,1051693,72397,60540,3337,220.87563,11211.2276061819,77605,99691,126235,201546,337,170271,262594,26874,7833.97225979986,1598573,45,45.75,89.88,100,NA
2025-2026,July,02,ANDHRA PRADESH,0215,ANAKAPALLI,5660945,282.378560972086,41,3172,4732.595611515,1243,3,44157,7828090,581432,35060,245190,16957,231.26255,27068.7060551148,190348,267484,238792,393779,996,293233,463829,45400,22104.8478935998,5418930,55,20.13,93.34,100,NA
2025-2026,July,02,ANDHRA PRADESH,0217,ELURU,5861794,279.108164596204,37,3020,4313.541950718,4478,4,44434,8628510,2837951,205710,938859,54208,274.7006,28671.118443718,228661,365354,320461,598234,2134,384244,695043,48912,24082.875893,5044470,40,38.95,93.87,100,NA
2025-2026,July,02,ANDHRA PRADESH,0221,NANDYAL,3404104,260.093551632197,32,1627,3587.533085429,2465,1,49580,4826533,1314165,113557,217577,14111,371.68745,16512.721635829,149574,246955,214910,415998,487,275399,516887,52045,12553.5011004,2894335,34,73.35,95.21,100,NA
2025-2026,July,02,ANDHRA PRADESH,0207,GUNTUR,1361444,252.766207989594,29,469,1624.00881932,173,21,24686,1680536,686204,70903,47737,5696,225.63304,6097.46898042,56318,89387,91032,159613,170,138247,231983,24859,4247.8271211,972687,33,94.72,96.53,100,NA
2025-2026,July,02,ANDHRA PRADESH,0212,ANANTAPUR,5442361,279.600407944676,37,2866,5865.398116254,619,1,58763,5796938,940456,95706,225463,17992,665.33804,22738.9984525539,155948,263623,258913,489481,1336,326677,609240,59382,16208.2622962999,3227777,48,47.31,91.12,100.01,NA
2025-2026,July,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7350488,289.078854258516,41,4010,5080.012239435,822,1,86286,7936059,150213,9928,7301159,421234,417.88654,28439.3672099148,190342,330329,234121,460142,8015,257941,495142,87108,22941.4684304798,4163437,84,67.58,81.47,100,NA
2025-2026,July,02,ANDHRA PRADESH,0217,ELURU,5861794,279.203389474388,37,3019,4313.124050718,4155,4,44733,8613067,2833974,205711,935570,54206,274.54986,28635.648912418,228523,365102,320452,598220,2120,384214,694986,48888,24047.9750017,5035787,40,38.92,93.86,100,NA
2025-2026,July,02,ANDHRA PRADESH,0219,BAPATLA,3603589,275.737456854085,29,1930,2843.73043064,2848,1,47897,4786548,1569330,140328,178049,15385,212.78666,16254.82281694,160525,273113,215925,402130,602,275309,487324,50745,13198.3057263,2583214,19,79.2,93.88,100,NA
2025-2026,July,02,ANDHRA PRADESH,0221,NANDYAL,3404104,260.951052809685,32,1626,3587.533085429,2324,1,49694,4796109,1305114,113544,216863,14111,371.68745,16474.717464829,149488,246781,214882,415949,450,275383,516857,52018,12515.4969294,2874949,34,73.23,95.22,100,NA
2025-2026,July,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,3591201,276.183421505612,34,2338,5144.328701483,1780,2,44607,4089267,542877,65177,234018,25227,346.09736,16784.3035765829,118760,202648,215871,411218,651,284712,528801,46387,11293.8775150999,2211402,57,41.36,87.83,100,NA
2025-2026,July,02,ANDHRA PRADESH,0224,TIRUPATI,3786749,281.276817413224,31,1649,5906.70650799199,4007,9,40741,3834626,1497690,150306,284377,32264,333.09648,17025.716960492,121362,170854,217919,389711,1312,275150,476143,44748,10785.9139725,2523723,43,27.47,95.67,100,NA
2025-2026,July,02,ANDHRA PRADESH,0202,VIZIANAGARAM,10494611,213.316430434546,38,6300,5550.456776964,3603,1,50116,10529178,1163767,73287,258861,17807,722.49403,28733.4174706636,276588,395491,345963,634267,766,389011,694851,53719,22460.4666636996,7480294,44,7.62,90.14,100,NA
2025-2026,July,02,ANDHRA PRADESH,0210,CHITTOOR,2940884,272.260433215351,31,956,5509.086906321,6625,0,52576,2761121,752631,110594,86929,13554,674.48422,13701.011122521,88675,130007,210210,389424,363,276459,496122,59201,7517.43999620003,1720390,63,63.42,84.18,100,NA
2025-2026,July,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5625831,261.421022201362,47,3606,4497.48442809301,12335,0,50140,8091625,934915,45682,3147087,140173,401.73412,26052.427335794,169987,280672,195317,378631,5895,217431,410970,62475,21153.208787701,4820102,78,43.48,91.95,100,NA
2025-2026,July,02,ANDHRA PRADESH,0226,KAKINADA,3498428,281.194494375444,30,2776,9316.71289826499,2777,0,32502,4166728,1183092,93263,78264,8748,315.65536,21348.977989865,138780,190221,206256,353667,238,297482,487724,35279,11716.6097316001,2125073,44,53.46,85.62,100,NA
2025-2026,July,02,ANDHRA PRADESH,0206,KRISHNA,2773732,281.150920226894,38,1975,4204.068368027,3554,0,47036,5328262,1957507,122415,76972,5823,407.80442,19592.3304331269,138457,236521,182586,337051,3411,223435,395751,50590,14980.4576450999,2865199,19,85.81,92.17,100,NA
2025-2026,July,02,ANDHRA PRADESH,0209,NELLORE,3725779,239.197305288972,32,1529,5044.92189633,5987,4,56393,5292805,1391034,139162,216414,30090,492.07526,18197.24409053,163186,233352,273729,480964,946,361385,613939,62380,12660.2469342,3347614,38,45.53,84.11,100,NA
2025-2026,July,02,ANDHRA PRADESH,0210,CHITTOOR,2940884,272.223689533174,30,951,6147.914062754,6438,0,52615,2740821,747659,110586,86228,13553,621.46775,14230.545862454,88454,129616,210183,389372,354,276451,496105,59053,7461.16404970003,1708569,63,63.17,84.45,100,NA
2025-2026,July,02,ANDHRA PRADESH,0213,KURNOOL,3495353,267.419500568055,28,2043,3656.916402379,2744,4,52362,4709911,875873,109089,90439,7896,538.6281,16790.7649757789,166070,281993,267323,526696,421,346494,662286,55106,12595.2204733999,2589193,39,73.99,93.2,100,NA
2025-2026,July,02,ANDHRA PRADESH,0226,KAKINADA,3498428,280.858717577109,29,2773,9327.99666874999,2717,0,32520,4141364,1174114,93258,77785,8739,264.57421,21223.95269935,138603,189977,206198,353563,210,297442,487643,35237,11631.3818206001,2113589,44,53.31,85.59,100,NA
2025-2026,July,02,ANDHRA PRADESH,0201,SRIKAKULAM,10452016,236.286210035937,42,5915,9284.31918273399,3456,0,64161,13362037,1149346,60024,772892,40171,821.93264,41678.9026336336,313383,440515,381104,673486,2257,444236,757601,67617,31572.6508108996,9607089,49,23,93.79,100,NA
2025-2026,July,02,ANDHRA PRADESH,0204,EAST GODAVARI,2375101,275.844507973814,36,1584,3156.379716382,4417,0,22449,2863120,1059882,72409,60729,3337,220.87563,11275.0146230819,77726,99862,126265,201594,378,170278,262608,26866,7897.75927669985,1609619,45,45.7,89.44,100,NA
2025-2026,July,02,ANDHRA PRADESH,0205,WEST GODAVARI,2053642,283.296129721442,32,1178,1472.783112324,2350,0,28725,2919764,829201,64680,23095,1907,235.95293,9980.31445132397,90993,128473,137640,237889,868,187761,309690,31075,8271.57840899997,1670605,36,87.42,90.85,100,NA
2025-2026,July,02,ANDHRA PRADESH,0206,KRISHNA,2773732,281.30981695017,38,1973,4197.423457927,1784,0,49291,5313362,1953376,122430,76866,5826,407.80442,19552.2367940269,138370,236356,182577,337070,3356,223442,395788,51075,14947.0089160999,2857550,19,85.98,92.44,100,NA
2025-2026,July,02,ANDHRA PRADESH,0210,CHITTOOR,2940884,272.14062545393,30,943,6133.699429694,5811,0,52901,2666991,730890,110570,84181,13552,544.04608,13935.711497894,87682,128339,210089,389201,304,276414,496043,58712,7257.96598820002,1662314,63,63.38,84.75,100,NA
2025-2026,July,02,ANDHRA PRADESH,0215,ANAKAPALLI,5660945,282.120520602742,41,3175,4817.591053615,1868,3,43727,7929040,589873,35059,248887,16949,236.00485,27423.0448304147,190617,267946,238829,393633,1113,292848,463020,45595,22369.4489267997,5491066,55,20.24,93.37,100,NA
2025-2026,July,02,ANDHRA PRADESH,0204,EAST GODAVARI,2375101,275.856028740834,37,1584,3153.796453007,4781,0,22003,2885163,1069030,72389,60897,3338,280.39101,11393.0835375069,77847,100055,126276,201587,394,170298,262624,26784,7958.89607449991,1620650,45,45.81,89.23,100,NA
2025-2026,July,02,ANDHRA PRADESH,0205,WEST GODAVARI,2053642,283.268820886345,32,1178,1470.973052324,2433,0,28668,2935985,834067,64680,23378,1907,250.30283,10038.0059732239,91072,128583,137648,237902,901,187776,309718,31101,8316.73009089994,1680053,36,87.42,90.86,100,NA
2025-2026,July,02,ANDHRA PRADESH,0211,Y.S.R,4080498,272.257674611397,44,1925,4318.6691593,1613,3,45686,5877981,1101108,78711,72473,5405,814.91891,21136.8424539997,132760,208404,189032,355098,3301,247519,456467,47299,16003.2543846997,3786998,37,40.47,96.01,100,NA
2025-2026,July,02,ANDHRA PRADESH,0218,NTR,2266753,293.073619597937,28,1748,3954.332541381,1867,2,30529,3491327,1248068,124485,273499,24236,211.87,14398.3609522811,123102,198243,178675,331593,301,217589,393974,32396,10232.1584109001,2117938,30,76.69,93.05,100,NA
2025-2026,July,02,ANDHRA PRADESH,0202,VIZIANAGARAM,10494611,213.324759981702,38,6300,5554.871085164,3727,1,67690,10532593,1163944,73288,259032,17807,740.84008,28764.3399022636,276601,395531,345964,634273,767,389011,694853,71417,22468.6287370996,7482739,49,7.65,90.08,100,NA
2025-2026,July,02,ANDHRA PRADESH,0208,PRAKASAM,6162035,251.472494189844,34,3752,6496.046679866,1011,3,74383,9808688,2134512,200893,278948,22423,915.32801,32077.5270507659,285758,491759,379476,731981,930,457808,849794,75394,24666.1523608999,5557566,43,28.07,89.43,100,NA
2025-2026,July,02,ANDHRA PRADESH,0218,NTR,2266753,293.356294807801,28,1751,3958.963471381,2016,2,36802,3503659,1251071,124456,274036,24239,233.15384,14470.3215364811,123184,198403,178669,331582,308,217612,394013,38818,10278.2042251001,2125485,36,76.72,93.05,100,NA
2025-2026,July,02,ANDHRA PRADESH,0221,NANDYAL,3404104,260.800526627341,32,1628,3643.843440129,2916,1,59922,4899081,1331267,113589,220968,14115,446.93845,16867.610938029,149962,247682,214976,416133,575,275542,517182,62838,12776.8290479,2941440,41,73.49,94.91,100,NA
2025-2026,July,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,3591201,276.886386693548,36,2401,5039.646848991,2934,2,58004,4455523,588138,65032,255689,25213,472.84236,17849.225851991,122182,208937,216185,410725,1075,283683,525466,60938,12336.7366429999,2408819,62,41.92,88.34,100,NA
2025-2026,July,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5625831,261.448981057409,47,3607,4497.48442809301,12430,0,62426,8097620,935460,45676,3151706,140173,401.73412,26070.3635279939,170006,280718,195313,378626,5910,217425,410961,74856,21171.1449799009,4823213,79,43.5,91.94,100,NA
2025-2026,July,02,ANDHRA PRADESH,0210,CHITTOOR,2940884,272.308291691113,30,951,6138.316439694,6245,0,52688,2699904,738792,110577,84591,13552,569.08122,14059.460119394,88056,128974,210145,389306,321,276447,496097,58933,7352.06245970003,1682526,63,63.05,84.41,100,NA
2025-2026,July,02,ANDHRA PRADESH,0213,KURNOOL,3495353,268.061516945323,28,2041,3654.045308879,2585,4,52577,4693920,872619,109082,89797,7895,502.18858,16738.8270450789,165936,281750,267294,526643,369,346490,662282,55162,12582.5931561999,2580493,39,73.95,93.21,100,NA
2025-2026,July,02,ANDHRA PRADESH,0215,ANAKAPALLI,5660945,282.148595600468,41,3175,4818.005433615,2131,3,43627,7965447,593155,35060,251282,16952,237.59318,27529.9954574146,190713,268143,238853,393608,1240,292761,462834,45758,22474.3968437996,5516119,55,20.24,93.36,100,NA
2025-2026,July,02,ANDHRA PRADESH,0219,BAPATLA,3603589,275.065481305685,30,1941,2844.86672064,4369,1,46454,4901303,1606441,140383,182388,15408,212.78666,16539.44606784,161699,275366,216035,402363,710,275348,487439,50823,13481.7926872,2647033,19,79.08,93.79,100,NA
2025-2026,July,02,ANDHRA PRADESH,0221,NANDYAL,3404104,260.636829674728,32,1627,3616.129808629,2726,1,48143,4859637,1321874,113566,219501,14112,368.10642,16650.240039129,149739,247274,214942,416067,515,275451,517006,50869,12666.0038105,2916025,36,73.41,95.06,100,NA
2025-2026,July,02,ANDHRA PRADESH,0226,KAKINADA,3498428,281.324198321863,29,2773,9323.53204874999,2686,0,32499,4125284,1169801,93257,77272,8735,255.02684,21183.98103025,138545,189892,206188,353543,198,297401,487571,35185,11605.4221415001,2108158,44,53.2,85.57,100,NA
2025-2026,July,02,ANDHRA PRADESH,0205,WEST GODAVARI,2053642,283.289064773456,32,1178,1471.666302324,2607,0,37053,2939491,834921,64682,23394,1907,275.38715,10074.3100153239,91106,128629,137657,237919,906,187789,309742,39660,8327.2565629999,1681735,38,87.35,90.79,100,NA
2025-2026,July,02,ANDHRA PRADESH,0206,KRISHNA,2773732,281.416940452561,38,1973,4205.633668852,4912,0,55658,5327618,1957622,122408,76960,5823,479.1889,19677.6421434519,138358,236263,182584,337014,3414,223408,395668,60570,14992.8195745999,2865107,21,85.27,91.54,100,NA
2025-2026,July,02,ANDHRA PRADESH,0208,PRAKASAM,6162035,251.461528696948,34,3752,6496.046679866,1011,3,74385,9809701,2134582,200893,278948,22423,915.32801,32078.9987850658,285758,491761,379476,731979,930,457811,849799,75396,24667.6240951998,5558140,43,28.07,89.43,100,NA
2025-2026,July,02,ANDHRA PRADESH,0216,KONASEEMA,2480173,297.947324623769,38,2373,3497.111972226,4417,0,34409,4415450,2153607,118176,38429,2386,298.19487,16951.0219873262,114892,158809,154370,256660,1201,237310,367335,38826,13155.7151451002,2845759,34,89.33,93.25,100,NA
2025-2026,July,02,ANDHRA PRADESH,0219,BAPATLA,3603589,274.935641346265,30,1953,2852.46882584,4810,1,54713,4979884,1626086,140385,184505,15414,324.83069,16868.77552954,162731,277181,216110,402446,868,275357,487436,59523,13691.4760137,2690055,24,78.88,93.68,100,NA
2025-2026,July,02,ANDHRA PRADESH,0220,PALNADU,2889494,276.096126041862,29,2017,4688.241825187,1826,4,58714,5718624,1175796,123565,525821,45459,339.86059,20817.0017420872,192271,323883,275280,496013,1855,354059,611883,60540,15788.8993269002,3050182,29,81.18,92.42,100,NA
2025-2026,July,02,ANDHRA PRADESH,0211,Y.S.R,4080498,272.331991547332,44,1926,4318.9696293,1831,3,61890,5907487,1105129,78708,72695,5404,817.54602,21224.4926467997,132882,208620,189056,355116,3504,247507,456416,63721,16087.9769974997,3807972,48,40.55,96.09,100,NA
2025-2026,July,02,ANDHRA PRADESH,0212,ANANTAPUR,5442361,280.542824728968,38,2901,5385.048843685,1581,1,74277,6055958,978239,95599,238038,17976,841.52721,23216.1316912849,158066,267567,259143,489077,1780,325813,606241,75858,16989.5556375999,3374649,54,47.81,90.63,100.01,NA
2025-2026,July,02,ANDHRA PRADESH,0221,NANDYAL,3404104,260.800450049725,32,1628,3643.843440129,2890,1,59926,4898992,1331260,113587,220964,14108,446.93845,16867.375074029,149961,247681,214976,416126,575,275520,517141,62816,12776.5931839,2941394,41,73.51,94.94,100,NA
2025-2026,July,02,ANDHRA PRADESH,0223,ANNAMAYYA,3488638,272.594672250839,37,1134,2968.540817493,4418,2,62274,4286998,806512,67840,165448,12833,417.18042,15071.849384993,115733,170035,202030,348989,789,253479,426326,66692,11686.1281475,2508781,62,64.6,91,100,NA
2025-2026,July,02,ANDHRA PRADESH,0224,TIRUPATI,3786749,282.002525823589,34,1687,5927.07376733199,4434,9,55610,4311659,1681106,150447,320077,32341,425.87474,18511.9357922321,125343,177253,218279,390338,2038,275207,476256,60044,12158.9872849001,2841244,52,27.4,95.87,100,NA
2025-2026,July,02,ANDHRA PRADESH,0226,KAKINADA,3498428,281.481642961221,30,2777,9317.03019826499,2794,0,39307,4174779,1184320,93207,78666,8744,316.40684,21384.673557465,138772,190207,206245,353454,240,297326,487219,42101,11751.2365192,2128854,45,53.36,85.4,100,NA
2025-2026,July,02,ANDHRA PRADESH,0204,EAST GODAVARI,2375101,275.753548445644,37,1586,3165.492723007,5171,0,27894,2903677,1076265,72375,61219,3338,282.81187,11455.296955907,78000,100282,126294,201584,426,170295,262552,33065,8006.99236290001,1629958,47,45.95,89.18,100,NA
2025-2026,July,02,ANDHRA PRADESH,0210,CHITTOOR,2940884,272.6458188568,31,961,5529.194923315,6905,0,78060,2856635,773963,110624,90324,13555,674.95672,13992.647530815,89536,131455,210326,389626,497,276565,496313,84965,7788.49588749995,1780326,70,63.79,82.63,100,NA
2025-2026,July,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7350488,288.989319034352,42,4032,5068.128808241,1222,1,117841,8196481,154651,9930,7533342,421571,514.50838,29269.591814921,192293,333591,234360,460525,9002,258125,495450,119063,23686.95462668,4306093,83,66.56,80.32,100,NA
2025-2026,July,02,ANDHRA PRADESH,0217,ELURU,5861794,279.030195289442,38,3043,4332.491288218,5435,4,55358,8880767,2908301,205766,979243,54281,367.47034,29479.9831315183,230226,368003,320751,598775,2566,384476,695503,60793,24780.0215033003,5197163,44,39.42,93.93,100,NA
2025-2026,July,02,ANDHRA PRADESH,0223,ANNAMAYYA,3488638,272.403775622884,37,1143,2990.972886193,4789,2,61913,4341334,815297,67793,168018,12754,420.86855,15237.799164593,116586,171089,202047,348956,852,253348,426064,66702,11825.9577284,2540632,62,64.51,90.69,100,NA
2025-2026,Aug,02,ANDHRA PRADESH,0201,SRIKAKULAM,10591499,236.351188314539,42,5922,9311.11428181899,5466,0,86665,13453475,1155845,60010,785940,40168,1017.22254,42125.7848539184,313948,441570,381157,673426,2443,444224,757431,92131,31797.4480320994,9671476,57,23.26,92.77,100,NA
